"Atleta","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
36443,"Dida",1,38,2,0,0,7,0,0,0,2,13,0,13,20,0,26,1,0,0,0
36522,"Alex",4,38,16,27,15,49,6,5,13,5,75,7,0,0,2,0,0,0,0,0
36540,"Juan",3,38,23,4,10,14,0,0,31,5,33,1,10,0,0,0,0,0,0,0
36612,"Zé Roberto",4,38,19,5,8,28,0,4,48,8,64,5,0,0,0,0,0,0,0,0
36728,"Índio",3,36,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
36775,"Marcos Assunção",4,2,4,0,0,1,0,0,7,1,7,0,0,0,0,0,0,0,0,0
36790,"Josué",4,38,53,0,2,21,1,0,41,3,42,2,0,0,0,0,0,0,0,0
36792,"Araújo",5,9,1,1,1,11,0,4,3,0,5,0,0,0,0,0,0,0,0,0
36802,"Ronaldinho Gaúcho",4,12,1,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
36856,"Celso Roth",6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36934,"Muricy Ramalho",6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36940,"Oswaldo De Oliveira",6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36943,"Paulo Autuori",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37245,"Guto Ferreira",6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37246,"Ney Franco",6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37281,"Mano Menezes",6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37306,"Gilson Kleina",6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37592,"Toninho Cecílio",6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37607,"Michel Bastos",2,25,21,7,10,11,1,5,16,3,56,6,7,0,0,0,2,0,0,0
37610,"Ivan",2,9,1,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0
37613,"Dagoberto",5,38,13,6,10,10,3,4,8,2,32,1,0,0,0,0,0,0,0,0
37621,"Junior Cesar",2,38,33,2,1,54,0,0,34,7,115,0,8,0,0,0,1,0,0,0
37627,"Diguinho",4,38,29,0,2,41,0,0,43,5,60,0,0,0,0,0,0,0,0,0
37645,"Marcelo Mattos",4,38,17,2,1,8,0,0,9,4,22,0,0,0,0,0,0,0,0,0
37652,"Carlos Alberto",4,38,20,2,4,50,0,6,4,3,23,1,0,0,0,0,0,0,0,0
37653,"Nilmar",5,16,9,6,5,3,2,2,4,2,12,0,0,0,0,0,0,0,0,0
37654,"Rosinei",4,38,21,1,2,20,0,2,19,2,29,0,0,0,0,0,0,0,0,0
37655,"Rafael Moura",5,38,40,16,15,22,8,21,9,6,47,3,0,0,1,1,0,0,1,0
37656,"Fábio",1,38,0,0,0,1,0,0,0,1,14,0,11,39,0,36,0,0,0,0
37657,"Edu Dracena",3,38,23,3,5,9,0,5,25,7,32,2,6,0,1,0,0,0,0,0
37659,"Lauro",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37663,"Julio Cesar",2,28,8,0,1,3,0,0,3,1,27,0,4,0,0,0,1,0,0,0
37673,"Alecsandro",5,38,41,10,22,35,7,24,11,6,62,2,0,0,2,0,0,0,0,0
37674,"Wagner",4,38,36,10,16,69,7,4,28,6,121,5,0,0,0,0,0,0,0,0
37678,"Rodrigo Souto",4,38,8,2,3,4,0,0,5,2,13,0,0,0,0,0,0,0,0,0
37684,"Chicão",3,36,21,5,3,10,0,1,26,2,50,1,5,0,0,0,1,0,1,0
37688,"Cícero",4,38,27,7,12,54,8,6,6,5,53,2,0,0,2,0,0,0,0,0
37694,"Henrique",4,38,62,4,6,38,0,1,73,10,81,1,0,0,0,0,0,0,0,0
37701,"Léo Moura",2,38,27,2,2,43,1,1,35,6,107,1,12,0,1,0,1,0,1,0
37705,"Juan",2,38,31,5,5,46,0,1,22,4,55,1,2,0,1,0,0,0,2,0
37718,"Arouca",4,38,53,3,7,38,1,0,69,0,65,3,0,0,0,0,0,0,0,0
37749,"Harlei",1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37762,"Souza",5,32,42,8,6,16,5,20,12,3,43,0,0,0,4,0,1,0,0,0
37767,"Galatto",1,38,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0
37770,"Marcelo Grohe",1,38,0,0,0,8,0,0,0,2,19,0,19,49,0,21,0,0,0,1
37783,"Ramon",4,38,21,10,6,24,2,5,33,1,68,1,0,0,0,0,0,0,0,0
37789,"Bolívar",3,28,31,0,1,18,1,0,18,4,33,0,7,0,0,0,0,0,0,0
37790,"Ceará",2,38,16,0,2,7,0,1,16,2,43,1,4,0,0,0,0,0,0,0
37792,"Edinho",4,38,24,0,1,7,0,0,17,4,29,0,0,0,0,0,0,0,0,0
37794,"Tinga",4,38,6,1,0,2,0,0,4,1,5,0,0,0,0,0,0,0,0,0
37795,"Jorge Wagner",4,11,7,2,3,4,0,0,3,0,11,1,0,0,0,0,0,0,0,0
37798,"Rafael Sobis",5,38,16,31,11,38,3,6,20,4,73,3,0,0,1,0,0,0,0,0
37816,"Marco Antônio",4,38,36,10,22,23,3,0,27,7,115,3,0,0,3,0,0,0,0,0
37818,"Hugo",4,38,2,0,2,5,0,0,4,0,15,0,0,0,0,0,0,0,0,0
37826,"Paulo Baier",4,38,18,22,5,11,4,13,11,3,72,2,0,0,1,0,0,0,0,0
37840,"Gustavo",3,19,24,1,1,12,0,1,6,6,11,0,8,0,0,0,0,0,0,0
37848,"Leonardo",5,38,11,1,6,10,0,4,6,1,11,1,0,0,0,0,0,0,0,0
37851,"Maicosuel",4,30,16,5,6,15,1,0,9,0,26,1,0,0,1,0,0,0,0,0
37899,"Renan",1,38,0,0,0,10,0,0,0,0,18,0,13,63,0,37,0,0,0,1
37917,"Elano",4,23,2,0,0,3,0,1,2,2,22,0,0,0,0,0,0,0,0,0
37919,"Luis Fabiano",5,38,45,8,10,49,8,25,18,4,36,2,0,0,1,0,0,0,0,0
37941,"Borges",5,38,12,5,5,12,2,2,2,0,13,0,0,0,0,0,0,0,0,0
37958,"Felipe",1,38,0,0,0,1,0,0,0,0,3,0,1,9,0,15,0,0,0,0
37983,"Ricardo Conceição",4,38,33,4,6,25,2,2,16,0,36,0,0,0,0,0,0,0,0,0
37984,"Aranha",1,38,1,0,0,4,0,0,0,2,5,0,12,41,0,31,0,0,0,0
38021,"Wendel",4,38,42,4,16,57,0,3,20,10,37,0,0,0,0,0,0,0,0,0
38026,"Kleber",2,11,2,1,1,1,0,0,3,0,9,0,2,0,0,0,0,0,0,0
38032,"Cleber Santana",4,23,27,8,16,13,1,3,9,7,75,4,0,0,0,0,0,0,0,0
38038,"Luiz",1,34,0,0,0,1,0,0,0,2,5,0,7,22,0,15,0,0,0,0
38055,"Rogério Ceni",1,38,0,3,2,8,8,0,0,0,61,0,13,39,0,33,0,0,1,0
38061,"Edcarlos",3,38,17,0,4,12,0,0,14,3,32,0,7,0,0,0,0,0,0,0
38064,"Denilson",4,38,68,5,7,47,0,0,64,4,45,0,0,0,1,0,0,0,0,0
38067,"Danilo",4,38,10,4,5,13,2,1,10,0,42,3,0,0,0,0,0,0,0,0
38069,"Richarlyson",2,38,34,9,2,34,1,0,18,7,68,2,3,0,0,0,0,1,0,0
38074,"Ygor",4,38,10,1,0,3,0,0,10,1,20,0,0,0,0,0,0,0,0,0
38100,"Durval",3,38,24,6,5,11,1,2,28,7,85,3,12,0,0,0,1,0,0,0
38108,"Jorge Henrique",5,38,22,5,9,25,2,4,8,3,30,2,0,0,0,0,0,0,0,0
38109,"Jefferson",1,38,0,0,0,3,0,0,0,2,11,0,6,45,0,35,0,0,0,0
38133,"Julio Cesar",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38138,"Jô",5,38,16,9,9,16,0,9,3,1,29,4,0,0,0,0,0,0,0,0
38140,"Fernando Prass",1,38,0,0,0,3,0,0,0,2,12,0,2,32,0,21,0,0,0,0
38162,"Fred",5,38,49,23,22,49,18,28,6,3,72,5,0,0,0,0,1,0,1,0
38184,"André Santos",2,13,15,1,4,8,0,0,27,2,30,0,0,0,0,0,0,0,0,0
38194,"Antônio Carlos",3,38,17,5,3,15,2,3,11,5,21,0,7,0,0,0,0,0,0,0
38196,"Maicon",4,38,27,5,11,14,1,0,25,5,41,0,0,0,0,0,0,0,0,0
38219,"Alex",4,38,35,13,16,64,5,5,22,4,87,4,0,0,2,0,0,0,0,0
38229,"Fábio Santos",2,38,39,5,8,46,4,2,43,5,110,3,14,0,1,0,1,0,1,0
38231,"Diego Tardelli",5,38,20,9,19,32,10,22,14,5,111,0,0,0,3,0,1,0,0,0
38243,"Léo",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38246,"Robinho",5,26,39,10,12,36,4,15,13,1,65,0,0,0,0,0,0,0,0,0
38279,"Wellington Paulista",5,38,33,9,14,31,3,6,7,5,29,0,0,0,1,0,1,0,0,0
38311,"Márcio Araújo",4,38,33,7,3,49,2,4,47,2,92,0,0,0,0,0,0,0,0,0
38315,"Jadson",4,38,20,8,12,13,4,1,16,3,97,7,0,0,0,0,0,0,0,0
38357,"Martinez",4,38,13,1,1,8,0,0,10,3,25,0,0,0,0,0,0,0,0,0
38362,"Rodrigo Silva",5,9,3,1,2,3,0,3,1,1,2,0,0,0,0,0,0,0,0,0
38365,"Henrique",3,30,16,1,0,8,0,1,17,2,24,0,4,0,0,0,0,0,0,0
38369,"Ibson",4,25,9,6,4,29,0,3,22,1,60,0,0,0,0,0,0,0,0,0
38370,"André Bahia",3,38,16,4,6,12,1,2,17,1,29,0,7,0,0,0,0,0,0,0
38374,"Alessandro",5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38394,"Thiago Heleno",3,38,40,6,9,29,2,4,25,13,58,1,10,0,0,0,2,0,0,0
38398,"Renato Augusto",4,38,23,13,14,45,1,5,34,1,108,6,0,0,2,0,0,0,0,0
38425,"Fábio Ferreira",3,38,29,5,4,26,1,3,42,5,57,0,9,0,1,0,0,0,0,0
38431,"Diego Cavalieri",1,38,0,0,0,2,0,0,0,1,28,0,12,45,0,34,0,0,0,1
38432,"Wendel",2,38,34,0,2,18,0,0,18,4,49,0,4,0,0,0,0,0,0,0
38435,"Valdivia",4,38,22,6,7,64,0,2,23,5,99,5,0,0,0,0,1,0,0,0
38440,"Pierre",4,38,53,4,7,22,0,0,33,5,29,0,0,0,0,0,0,0,0,0
38451,"Carlinhos",2,36,29,6,12,21,0,1,26,5,92,1,8,0,0,0,1,0,0,0
38482,"Marcos Aurélio",5,30,3,11,9,12,1,1,5,1,33,2,0,0,1,0,0,0,0,0
