"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti"
36443,"Dida",1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36540,"Juan",3,36,16,2,6,5,0,1,5,2,16,0,4,0,0,0,1,0,0,0
36591,"Leonardo",3,36,2,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0
36612,"Zé Roberto",2,36,15,8,10,30,2,3,37,1,42,4,6,0,0,0,0,0,0,0
36650,"Magno Alves",5,36,5,5,3,9,0,2,4,0,18,1,0,0,0,0,1,0,0,0
36790,"Josué",4,36,8,0,0,6,0,0,8,2,0,1,0,0,0,0,0,0,0,0
36802,"Ronaldinho Gaúcho",4,12,6,4,3,2,0,1,1,1,36,0,0,0,0,0,0,0,0,0
36856,"Celso Roth",6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36940,"Oswaldo De Oliveira",6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37085,"René Simões",6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37086,"Artur Neto",6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37187,"Pc Gusmão",6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37245,"Guto Ferreira",6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37246,"Ney Franco",6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37281,"Mano Menezes",6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37306,"Gilson Kleina",6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37604,"Paulo André",3,36,11,3,1,5,0,1,10,6,35,0,7,0,0,0,1,0,0,0
37607,"Michel Bastos",4,36,25,8,32,13,7,14,22,4,123,0,0,0,1,0,0,0,0,0
37608,"Cristian",4,36,8,3,3,2,1,0,11,1,20,0,0,0,0,0,0,0,0,0
37613,"Dagoberto",5,36,10,4,3,16,0,3,3,6,20,1,0,0,0,0,0,0,0,0
37623,"Rafael Marques",3,23,3,0,3,8,0,0,5,3,11,0,3,0,0,0,0,0,0,0
37627,"Diguinho",4,36,13,1,2,17,0,0,23,2,34,0,0,0,0,0,0,0,0,0
37633,"Lúcio Flávio",4,31,23,12,8,47,0,0,15,5,87,3,0,0,0,0,1,0,0,0
37644,"Rodrigo",3,36,32,18,21,47,4,2,59,8,89,0,11,0,0,0,2,0,0,0
37652,"Carlos Alberto",4,36,22,7,11,53,3,3,12,5,24,0,0,0,0,0,1,0,0,0
37653,"Nilmar",5,15,7,4,3,11,3,3,6,1,14,0,0,0,0,0,0,0,0,0
37654,"Rosinei",4,23,7,0,1,2,0,0,6,2,8,0,0,0,0,0,0,0,0,0
37655,"Rafael Moura",5,36,23,8,10,14,1,5,7,3,18,1,0,0,1,0,0,0,0,0
37656,"Fábio",1,36,0,0,0,6,0,0,0,3,13,0,11,46,0,32,0,0,0,0
37657,"Edu Dracena",3,36,13,4,6,2,2,3,13,1,14,0,6,0,0,0,0,0,0,0
