"AtletaID","nome","posicao","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti","mediaFC","mediaFD","mediaFF","mediaFS","mediaG","mediaI","mediaR","mediaCA","mediaPE","mediaA","mediaJSG","mediaDD","mediaFT","mediaGS","mediaCV","mediaGC","mediaPP","mediaDP"
36540,"Juan",3,38,4,1,3,5,0,0,7,2,14,0,5,0,0,0,0,0,0,0,0.105263157894737,0.0263157894736842,0.0789473684210526,0.131578947368421,0,0,0.184210526315789,0.0526315789473684,0.368421052631579,0,0.131578947368421,0,0,0,0,0,0,0
36591,"Leonardo",3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36612,"Zé Roberto",4,38,30,0,5,37,1,3,45,3,42,2,0,0,0,0,0,0,0,0,0.789473684210526,0,0.131578947368421,0.973684210526316,0.0263157894736842,0.0789473684210526,1.18421052631579,0.0789473684210526,1.10526315789474,0.0526315789473684,0,0,0,0,0,0,0,0
36650,"Magno Alves",5,38,6,7,6,8,1,3,4,0,19,5,0,0,1,0,0,0,0,0,0.157894736842105,0.184210526315789,0.157894736842105,0.210526315789474,0.0263157894736842,0.0789473684210526,0.105263157894737,0,0.5,0.131578947368421,0,0,0.0263157894736842,0,0,0,0,0
36856,"Celso Roth",6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36934,"Muricy Ramalho",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36940,"Oswaldo de Oliveira",6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36943,"Paulo Autuori",6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37245,"Guto Ferreira",6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37281,"Mano Menezes",6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37306,"Gilson Kleina",6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37424,"Pintado",6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37601,"Tiago Cardoso",1,38,1,0,0,6,0,0,0,2,10,0,6,43,0,53,0,0,0,2,0.0263157894736842,0,0,0.157894736842105,0,0,0,0.0526315789473684,0.263157894736842,0,0.157894736842105,1.13157894736842,0,1.39473684210526,0,0,0,0.0526315789473684
37604,"Paulo André",3,38,18,3,7,17,2,0,9,5,64,1,12,0,0,0,0,0,0,0,0.473684210526316,0.0789473684210526,0.184210526315789,0.447368421052632,0.0526315789473684,0,0.236842105263158,0.131578947368421,1.68421052631579,0.0263157894736842,0.315789473684211,0,0,0,0,0,0,0
