"atletas.atleta_id","nome","atletas.posicao_id","partidas","faltas_cometidas","finalizações_defendidas","finalizações_fora","faltas_sofridas","gols","impedimentos","roubadas","cartoes_amarelos","passes_errados","assistencias","jogos_sem_sofrer_gols","defesas_dificeis","finalizacoes_trave","gols_sofridos","cartos_vermelhos","gols_contra","penaltis_perdidos","defesas_penalti","mediaFC","mediaFD","mediaFF","mediaFS","mediaG","mediaI","mediaR","mediaCA","mediaPE","mediaA","mediaJSG","mediaDD","mediaFT","mediaGS","mediaCV","mediaGC","mediaPP","mediaDP"
36540,"Juan Silveira dos Santos","zag",38,1,0,1,1,0,0,3,1,7,0,1,0,0,0,0,0,0,0,0.0263157894736842,0,0.0263157894736842,0.0263157894736842,0,0,0.0789473684210526,0.0263157894736842,0.184210526315789,0,0.0263157894736842,0,0,0,0,0,0,0
36773,"Julio Cesar Soares de Espíndola","gol",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37245,"Augusto Sérgio Ferreira","tec",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37281,"Luis Antônio Venker de Menezes","tec",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37306,"Gilson Kleina","tec",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37313,"Marcos Paquetá","tec",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37319,"Marcelo Augusto Oliveira Chamusca","tec",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37604,"Paulo André Cren Benini","zag",38,11,0,0,7,1,0,6,5,24,0,7,0,0,0,0,0,0,0,0.289473684210526,0,0,0.184210526315789,0.0263157894736842,0,0.157894736842105,0.131578947368421,0.631578947368421,0,0.184210526315789,0,0,0,0,0,0,0
37607,"Michel Fernandes Bastos","mei",38,20,5,18,17,4,5,9,1,53,3,0,0,3,0,0,0,0,0,0.526315789473684,0.131578947368421,0.473684210526316,0.447368421052632,0.105263157894737,0.131578947368421,0.236842105263158,0.0263157894736842,1.39473684210526,0.0789473684210526,0,0,0.0789473684210526,0,0,0,0,0
37645,"Marcelo Mendonça de Mattos Terra","mei",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
